Version,OCP Version,Operator Version,Reboot Type,Stage,Iteration,Seconds,Total Minutes,Cluster,Kernel,Sideloaded
4.12,4.12.0-0.nightly-2022-10-24-103753-telco,4.12,Soft reboot,Workload Recovery,1,110,,worker-0,4.18.0-372.32.1.rt7.189.el8_6.telco.x86_64,Yes
4.12,4.12.0-0.nightly-2022-10-24-103753-telco,4.12,Soft reboot,Cluster Recovery,1,73,,worker-0,4.18.0-372.32.1.rt7.189.el8_6.telco.x86_64,Yes
4.12,4.12.0-0.nightly-2022-10-24-103753-telco,4.12,Soft reboot,Node Pingable,2,327,9.55,worker-0,4.18.0-372.32.1.rt7.189.el8_6.telco.x86_64,Yes
4.12,4.12.0-0.nightly-2022-10-24-103753-telco,4.12,Soft reboot,OC Reachable,2,99,,worker-0,4.18.0-372.32.1.rt7.189.el8_6.telco.x86_64,Yes
4.12,4.12.0-0.nightly-2022-10-24-103753-telco,4.12,Soft reboot,Workload Recovery,2,90,,worker-0,4.18.0-372.32.1.rt7.189.el8_6.telco.x86_64,Yes
4.12,4.12.0-0.nightly-2022-10-24-103753-telco,4.12,Soft reboot,Cluster Recovery,2,57,,worker-0,4.18.0-372.32.1.rt7.189.el8_6.telco.x86_64,Yes
4.12,4.12.0-0.nightly-2022-10-24-103753-telco,4.12,Power off/on,Node Pingable,1,161,31.77,worker-0,4.18.0-372.32.1.rt7.189.el8_6.telco.x86_64,Yes
4.12,4.12.0-0.nightly-2022-10-24-103753-telco,4.12,Power off/on,OC Reachable,1,162,,worker-0,4.18.0-372.32.1.rt7.189.el8_6.telco.x86_64,Yes
4.12,4.12.0-0.nightly-2022-10-24-103753-telco,4.12,Power off/on,Workload Recovery,1,1545,,worker-0,4.18.0-372.32.1.rt7.189.el8_6.telco.x86_64,Yes
4.12,4.12.0-0.nightly-2022-10-24-103753-telco,4.12,Power off/on,Cluster Recovery,1,38,,worker-0,4.18.0-372.32.1.rt7.189.el8_6.telco.x86_64,Yes
4.12,4.12.0-0.nightly-2022-10-24-103753-telco,4.12,Power off/on,Node Pingable,2,160,29.93,worker-0,4.18.0-372.32.1.rt7.189.el8_6.telco.x86_64,Yes
4.12,4.12.0-0.nightly-2022-10-24-103753-telco,4.12,Power off/on,OC Reachable,2,108,,worker-0,4.18.0-372.32.1.rt7.189.el8_6.telco.x86_64,Yes
4.12,4.12.0-0.nightly-2022-10-24-103753-telco,4.12,Power off/on,Workload Recovery,2,1490,,worker-0,4.18.0-372.32.1.rt7.189.el8_6.telco.x86_64,Yes
4.12,4.12.0-0.nightly-2022-10-24-103753-telco,4.12,Power off/on,Cluster Recovery,2,38,,worker-0,4.18.0-372.32.1.rt7.189.el8_6.telco.x86_64,Yes
4.12,4.12.0-rc.1,4.12,Soft reboot,Node Pingable,1,330,9.42,cnfdf35,4.18.0-372.36.1.rt7.193.el8_6.x86_64,Yes
4.12,4.12.0-rc.1,4.12,Soft reboot,OC Reachable,1,36,,cnfdf35,4.18.0-372.36.1.rt7.193.el8_6.x86_64,Yes
4.12,4.12.0-rc.1,4.12,Soft reboot,Workload Recovery,1,75,,cnfdf35,4.18.0-372.36.1.rt7.193.el8_6.x86_64,Yes
4.12,4.12.0-rc.1,4.12,Soft reboot,Cluster Recovery,1,124,,cnfdf35,4.18.0-372.36.1.rt7.193.el8_6.x86_64,Yes
4.12,4.12.0-rc.1,4.12,Soft reboot,Node Pingable,2,226,7.58,cnfdf35,4.18.0-372.36.1.rt7.193.el8_6.x86_64,Yes
4.12,4.12.0-rc.1,4.12,Soft reboot,OC Reachable,2,40,,cnfdf35,4.18.0-372.36.1.rt7.193.el8_6.x86_64,Yes
4.12,4.12.0-rc.1,4.12,Soft reboot,Workload Recovery,2,80,,cnfdf35,4.18.0-372.36.1.rt7.193.el8_6.x86_64,Yes
4.12,4.12.0-rc.1,4.12,Soft reboot,Cluster Recovery,2,109,,cnfdf35,4.18.0-372.36.1.rt7.193.el8_6.x86_64,Yes
4.12,4.12.0-rc.1,4.12,Soft reboot,Node Pingable,3,264,7.88,cnfdf35,4.18.0-372.36.1.rt7.193.el8_6.x86_64,Yes
4.12,4.12.0-rc.1,4.12,Soft reboot,OC Reachable,3,40,,cnfdf35,4.18.0-372.36.1.rt7.193.el8_6.x86_64,Yes
4.12,4.12.0-rc.1,4.12,Soft reboot,Workload Recovery,3,80,,cnfdf35,4.18.0-372.36.1.rt7.193.el8_6.x86_64,Yes
4.12,4.12.0-rc.1,4.12,Soft reboot,Cluster Recovery,3,89,,cnfdf35,4.18.0-372.36.1.rt7.193.el8_6.x86_64,Yes
4.12,4.12.0-rc.1,4.12,Soft reboot,Node Pingable,4,336,8.93,cnfdf35,4.18.0-372.36.1.rt7.193.el8_6.x86_64,Yes
4.12,4.12.0-rc.1,4.12,Soft reboot,OC Reachable,4,36,,cnfdf35,4.18.0-372.36.1.rt7.193.el8_6.x86_64,Yes
4.12,4.12.0-rc.1,4.12,Soft reboot,Workload Recovery,4,75,,cnfdf35,4.18.0-372.36.1.rt7.193.el8_6.x86_64,Yes
4.12,4.12.0-rc.1,4.12,Soft reboot,Cluster Recovery,4,89,,cnfdf35,4.18.0-372.36.1.rt7.193.el8_6.x86_64,Yes
4.12,4.12.0-rc.1,4.12,Soft reboot,Node Pingable,5,362,9.18,cnfdf35,4.18.0-372.36.1.rt7.193.el8_6.x86_64,Yes
4.12,4.12.0-rc.1,4.12,Soft reboot,OC Reachable,5,36,,cnfdf35,4.18.0-372.36.1.rt7.193.el8_6.x86_64,Yes
4.12,4.12.0-rc.1,4.12,Soft reboot,Workload Recovery,5,80,,cnfdf35,4.18.0-372.36.1.rt7.193.el8_6.x86_64,Yes
4.12,4.12.0-rc.1,4.12,Soft reboot,Cluster Recovery,5,73,,cnfdf35,4.18.0-372.36.1.rt7.193.el8_6.x86_64,Yes
4.12,4.12.0-rc.1,4.12,Power off/on,Node Pingable,1,231,7.93,cnfdf35,4.18.0-372.36.1.rt7.193.el8_6.x86_64,Yes
4.12,4.12.0-rc.1,4.12,Power off/on,OC Reachable,1,36,,cnfdf35,4.18.0-372.36.1.rt7.193.el8_6.x86_64,Yes
4.12,4.12.0-rc.1,4.12,Power off/on,Workload Recovery,1,155,,cnfdf35,4.18.0-372.36.1.rt7.193.el8_6.x86_64,Yes
