Version,OCP Version,Cluster,Duration,Iteration,Component,CPU,Steady Workloads - Avg
4.9,4.9.6,worker-2,8h,2,"{namespace=""openshift-sriov-network-operator"", pod=""sriov-network-config-daemon-""}",0.0006909,
4.9,4.9.6,worker-2,8h,2,"{namespace=""openshift-logging"", pod=""fluentd-""}",0.2948373,
4.9,4.9.6,worker-2,8h,2,"{namespace=""openshift-marketplace"", pod=""cluster-logging-operator-""}",0.0035117,
4.9,4.9.6,worker-2,8h,2,"{namespace=""openshift-kube-scheduler"", pod=""openshift-kube-scheduler-worker-2.cluster1.savanna.lab.eng.rdu2.redhat.com""}",0.0055225,
4.9,4.9.6,worker-2,8h,2,"{namespace=""openshift-machine-config-operator"", pod=""machine-config-daemon-""}",0.0005716,
4.9,4.9.6,worker-2,8h,2,"{namespace=""openshift-monitoring"", pod=""cluster-monitoring-operator-""}",0.0025952,
4.9,4.9.6,worker-2,8h,2,"{namespace=""openshift-monitoring"", pod=""node-exporter-""}",0.0087269,
4.9,4.9.6,worker-2,8h,2,"{namespace=""openshift-monitoring"", pod=""openshift-state-metrics-""}",0.0003051,
4.9,4.9.6,worker-2,8h,2,"{namespace=""openshift-operator-lifecycle-manager"", pod=""packageserver-""}",0.0054498,
4.9,4.9.6,worker-2,8h,2,"{namespace=""openshift-cluster-samples-operator"", pod=""cluster-samples-operator-""}",0.0045804,
4.9,4.9.6,worker-2,8h,2,"{namespace=""openshift-ingress-canary"", pod=""ingress-canary-""}",0.0000992,
4.9,4.9.6,worker-2,8h,2,"{namespace=""openshift-sriov-network-operator"", pod=""operator-webhook-""}",0.0000421,
4.9,4.9.6,worker-2,8h,2,"{namespace=""openshift-console-operator"", pod=""console-operator-""}",0.0070514,
4.9,4.9.6,worker-2,8h,2,"{namespace=""openshift-machine-config-operator"", pod=""machine-config-operator-""}",0.0111649,
4.9,4.9.6,worker-2,8h,2,"{namespace=""openshift-ingress-operator"", pod=""ingress-operator-""}",0.005571,
4.9,4.9.6,worker-2,8h,2,"{namespace=""openshift-config-operator"", pod=""openshift-config-operator-""}",0.0096404,
4.9,4.9.6,worker-2,8h,2,"{namespace=""openshift-dns"", pod=""node-resolver-""}",0.0010566,
4.9,4.9.6,worker-2,8h,2,"{namespace=""openshift-kube-storage-version-migrator"", pod=""migrator-""}",0.0001556,
4.9,4.9.6,worker-2,8h,2,"{namespace=""open-cluster-management-agent-addon"", pod=""klusterlet-addon-policyctrl-framework-""}",0.0015618,
