Version,OCP Version,Cluster,Duration,Iteration,Scenario,Type,CPU,Max CPU
4.11,4.11.0-rc.1,worker-0,8h,1,workloadlaunch,infra pods,1.6507889,
4.11,4.11.0-rc.1,worker-0,8h,1,mustgather,os daemon,0.7946667,2.8344147
4.11,4.11.0-rc.1,worker-0,8h,1,mustgather,infra pods,2.155428,
4.11,4.11.0-rc.1,worker-0,8h,1,promquery,os daemon,0.432,2.7916198
4.11,4.11.0-rc.1,worker-0,8h,1,promquery,infra pods,2.4063091,
4.11,4.11.0-rc.1,worker-0,8h,1,steadyworkload,os daemon,0.4446667,2.2573011
4.11,4.11.0-rc.1,worker-0,8h,1,steadyworkload,infra pods,1.8813011,
4.11,4.11.0-rc.1,worker-0,8h,2,idle,os daemon,0.3213333,1.7580599
4.11,4.11.0-rc.1,worker-0,8h,2,idle,infra pods,1.4760799,
4.11,4.11.0-rc.1,worker-0,8h,2,workloadlaunch,os daemon,0.7373333,2.10266
4.11,4.11.0-rc.1,worker-0,8h,2,workloadlaunch,infra pods,1.5425915,
4.11,4.11.0-rc.1,worker-0,8h,2,mustgather,os daemon,0.638,2.8092782
4.11,4.11.0-rc.1,worker-0,8h,2,mustgather,infra pods,2.3639448,
4.11,4.11.0-rc.1,worker-0,8h,2,promquery,os daemon,0.4545152,2.7187156
4.11,4.11.0-rc.1,worker-0,8h,2,promquery,infra pods,2.4400489,
4.11,4.11.0-rc.1,worker-0,8h,2,steadyworkload,os daemon,0.46,2.017963
4.11,4.11.0-rc.1,worker-0,8h,2,steadyworkload,infra pods,1.6173268,
4.11,4.11.0-rc.1,worker-0,8h,3,idle,os daemon,0.2466667,1.7958281
4.11,4.11.0-rc.1,worker-0,8h,3,idle,infra pods,1.5491614,
4.11,4.11.0-rc.1,worker-0,8h,3,workloadlaunch,os daemon,0.7353333,1.9935288
4.11,4.11.0-rc.1,worker-0,8h,3,workloadlaunch,infra pods,1.6067301,
4.11,4.11.0-rc.1,worker-0,8h,3,mustgather,os daemon,0.608,2.8497501
4.11,4.11.0-rc.1,worker-0,8h,3,mustgather,infra pods,2.3604168,
4.11,4.11.0-rc.1,worker-0,8h,3,promquery,os daemon,0.3153333,2.5886473
4.11,4.11.0-rc.1,worker-0,8h,3,promquery,infra pods,2.3159807,
4.11,4.11.0-rc.1,worker-0,8h,3,steadyworkload,os daemon,0.330088,1.9411757
4.11,4.11.0-rc.1,worker-0,8h,3,steadyworkload,infra pods,1.6778423,
4.11,4.11.0-rc.1,worker-0,8h,4,idle,os daemon,0.24,1.7689034
4.11,4.11.0-rc.1,worker-0,8h,4,idle,infra pods,1.5582368,
4.11,4.11.0-rc.1,worker-0,8h,4,workloadlaunch,os daemon,0.7,2.1882919
4.11,4.11.0-rc.1,worker-0,8h,4,workloadlaunch,infra pods,1.8580405,
4.11,4.11.0-rc.1,worker-0,8h,4,mustgather,os daemon,0.7176204,2.3973839
4.11,4.11.0-rc.1,worker-0,8h,4,mustgather,infra pods,2.0232082,
4.11,4.11.0-rc.1,worker-0,8h,4,promquery,os daemon,0.3127292,2.3839556
4.11,4.11.0-rc.1,worker-0,8h,4,promquery,infra pods,2.1187814,
4.11,4.11.0-rc.1,worker-0,8h,4,steadyworkload,os daemon,0.3373333,1.929289
4.11,4.11.0-rc.1,worker-0,8h,4,steadyworkload,infra pods,1.6306223,
4.11,4.11.0-rc.1,worker-0,8h,5,idle,os daemon,0.3392655,1.8430816
4.11,4.11.0-rc.1,worker-0,8h,5,idle,infra pods,1.5631181,
4.11,4.11.0-rc.1,worker-0,8h,5,workloadlaunch,os daemon,0.6146667,2.1842585
4.11,4.11.0-rc.1,worker-0,8h,5,workloadlaunch,infra pods,1.7682585,
4.11,4.11.0-rc.1,worker-0,8h,5,mustgather,os daemon,1.0173333,3.0226496
4.11,4.11.0-rc.1,worker-0,8h,5,mustgather,infra pods,2.0053163,
4.11,4.11.0-rc.1,worker-0,8h,5,promquery,os daemon,0.4813333,2.5600279
4.11,4.11.0-rc.1,worker-0,8h,5,promquery,infra pods,2.09341,
4.11,4.11.0-rc.1,worker-0,8h,5,steadyworkload,os daemon,0.5,2.3695358
4.11,4.11.0-rc.1,worker-0,8h,5,steadyworkload,infra pods,1.9682025,
4.11,4.11.0-rc.1,worker-0,8h,6,idle,os daemon,0.254,1.7924634
4.11,4.11.0-rc.1,worker-0,8h,6,idle,infra pods,1.565695,
4.11,4.11.0-rc.1,worker-0,8h,6,workloadlaunch,os daemon,0.7833211,2.3442665
4.11,4.11.0-rc.1,worker-0,8h,6,workloadlaunch,infra pods,1.6291446,
4.11,4.11.0-rc.1,worker-0,8h,6,mustgather,os daemon,1.0586667,3.4495207
4.11,4.11.0-rc.1,worker-0,8h,6,mustgather,infra pods,2.4969629,
4.11,4.11.0-rc.1,worker-0,8h,6,promquery,os daemon,0.3486667,2.8817364
4.11,4.11.0-rc.1,worker-0,8h,6,promquery,infra pods,2.5924031,
4.11,4.11.0-rc.1,worker-0,8h,6,steadyworkload,os daemon,0.3787424,1.9182129
4.11,4.11.0-rc.1,worker-0,8h,6,steadyworkload,infra pods,1.6668125,
4.10,4.10.23,worker-2,8h,1,idle,os daemon,0.17,1.1063009
4.10,4.10.23,worker-2,8h,1,idle,infra pods,0.9554966,
4.10,4.10.23,worker-2,8h,1,workloadlaunch,os daemon,1.1553333,2.100087
4.10,4.10.23,worker-2,8h,1,workloadlaunch,infra pods,1.0518028,
4.10,4.10.23,worker-2,8h,1,mustgather,os daemon,0.5917278,1.5784782
4.10,4.10.23,worker-2,8h,1,mustgather,infra pods,1.0298755,
4.10,4.10.23,worker-2,8h,1,promquery,os daemon,0.2913333,1.4821281
4.10,4.10.23,worker-2,8h,1,promquery,infra pods,1.2247948,
4.10,4.10.23,worker-2,8h,1,steadyworkload,os daemon,0.2887437,1.3909634
4.10,4.10.23,worker-2,8h,1,steadyworkload,infra pods,1.17804,
4.10,4.10.23,worker-2,8h,2,idle,os daemon,0.3633333,1.2983179
4.10,4.10.23,worker-2,8h,2,idle,infra pods,1.0170287,
4.10,4.10.23,worker-2,8h,2,workloadlaunch,os daemon,1.0186667,1.9275954
4.10,4.10.23,worker-2,8h,2,workloadlaunch,infra pods,1.1480375,
4.10,4.10.23,worker-2,8h,2,mustgather,os daemon,0.8546667,1.9530066
4.10,4.10.23,worker-2,8h,2,mustgather,infra pods,1.09834,
4.10,4.10.23,worker-2,8h,2,promquery,os daemon,0.528,1.7549628
4.10,4.10.23,worker-2,8h,2,promquery,infra pods,1.2909865,
4.10,4.10.23,worker-2,8h,2,steadyworkload,os daemon,0.532,1.6681407
4.10,4.10.23,worker-2,8h,2,steadyworkload,infra pods,1.2921407,
4.10,4.10.23,worker-2,8h,3,idle,os daemon,0.326667,1.2502232
4.10,4.10.23,worker-2,8h,3,idle,infra pods,0.9601574,
4.10,4.10.23,worker-2,8h,3,workloadlaunch,os daemon,0.586667,1.5518308
4.10,4.10.23,worker-2,8h,3,workloadlaunch,infra pods,1.1771641,
4.10,4.10.23,worker-2,8h,3,mustgather,os daemon,0.9886667,2.2457999
4.10,4.10.23,worker-2,8h,3,mustgather,infra pods,1.2571332,
4.10,4.10.23,worker-2,8h,3,promquery,os daemon,0.4953333,1.9394685
4.10,4.10.23,worker-2,8h,3,promquery,infra pods,1.5137946,
4.10,4.10.23,worker-2,8h,3,steadyworkload,os daemon,0.546,1.6540371
4.10,4.10.23,worker-2,8h,3,steadyworkload,infra pods,1.2560371,
4.10,4.10.23,worker-2,8h,4,idle,os daemon,0.1953333,1.1568166
4.10,4.10.23,worker-2,8h,4,idle,infra pods,1.0094833,
4.10,4.10.23,worker-2,8h,4,workloadlaunch,os daemon,0.858,1.9084348
4.10,4.10.23,worker-2,8h,4,workloadlaunch,infra pods,1.2935226,
4.10,4.10.23,worker-2,8h,4,mustgather,os daemon,0.6053333,1.5789483
4.10,4.10.23,worker-2,8h,4,mustgather,infra pods,1.1409483,
4.10,4.10.23,worker-2,8h,4,promquery,os daemon,0.3487364,1.7189329
4.10,4.10.23,worker-2,8h,4,promquery,infra pods,1.425317,
4.10,4.10.23,worker-2,8h,4,steadyworkload,os daemon,0.2813333,1.4228208
4.10,4.10.23,worker-2,8h,4,steadyworkload,infra pods,1.2001541,
4.10,4.10.23,worker-2,8h,5,idle,os daemon,1.1150584,1.2783917
4.10,4.10.23,worker-2,8h,5,idle,infra pods,0.1973333,
4.10,4.10.23,worker-2,8h,5,workloadlaunch,os daemon,0.9066667,1.6876662
4.10,4.10.23,worker-2,8h,5,workloadlaunch,infra pods,1.2961216,
4.10,4.10.23,worker-2,8h,5,mustgather,os daemon,0.788,1.9885099
4.10,4.10.23,worker-2,8h,5,mustgather,infra pods,1.2005099,
4.10,4.10.23,worker-2,8h,5,promquery,os daemon,0.3053333,1.6007794
4.10,4.10.23,worker-2,8h,5,promquery,infra pods,1.3367794,
4.10,4.10.23,worker-2,8h,5,steadyworkload,os daemon,0.2980397,1.4089587
4.10,4.10.23,worker-2,8h,5,steadyworkload,infra pods,1.2169587,
4.10,4.10.23,worker-2,8h,6,idle,os daemon,,
4.10,4.10.23,worker-2,8h,6,idle,infra pods,,
4.10,4.10.23,worker-2,8h,6,workloadlaunch,os daemon,,
